MAL_ID,Name,Score,Genres,sypnopsis
5163,Code Geass: Hangyaku no Lelouch R2 Picture Drama,7.11,"Comedy, Ecchi, Slice of Life","Though it has been one year since the Black Rebellion failed, the battle lives on, as the Holy Empire of Britannia attempts to expand its power worldwide, and the Black Knights work to regain theirs. As a newly instated Knight of Rounds, Suzaku Kururugi is an indispensable asset in battle, though he has yet to bear the full weight of his title. Among his opposition, C.C. and Kallen Stadtfeld strengthen their bond as they work together on crucial missions for the Black Knights. Interspersed throughout the drama are lighthearted, humorous moments, including the Ashford Academy Student Council’s handmade dress party and the Black Knights' pajama party. Blending tragedy and comedy, Code Geass: Hangyaku no Lelouch R2 Picture Drama gives a behind-the-scenes look at the characters of its parent series, showcasing how they come to terms with their roles and each other."
5252,One Piece: Romance Dawn Story,7.39,"Action, Fantasy, Comedy, Super Power, Shounen","The Straw Hat Pirates, searching for the great passage ""Grand Line"", are in trouble when their food runs out! Luffy, searching for food on his own, finds a ship belonging to the pirate, Gary, and takes it over!! He lands at a nearby town... Luffy was attacked by a young girl, Silk, who mistook him for a member of the other pirate gang. As the two eat a meal, they tell their stories. Meanwhile, Gary and his band are burning with anger at Luffy, demanding payment from the town's defenseless citizens...!! (Source: jumpland.com/animetour/op/index_en.html)"
5947,Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume,7.3,Comedy,"Viral tries to get some sleep, but keeps on having terrifying nightmares. Can't anyone save him from his plight?"
6127,Toradora!: SOS! Kuishinbou Banbanzai,6.37,Comedy,"Toradora DVD shorts featuring the miniature forms of the Toradora characters talking about, and eating, food."
6325,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,7.35,"Action, Comedy, Martial Arts, Shounen, Super Power","Ninjas with bloodline limits begin disappearing in all the countries and blame points toward the fire nation. By Tsunade's order, Kakashi is sacrificed to prevent an all out war. After inheriting charms left by Kakashi, Naruto fights through friends and foes to prevent his death while changing the minds of those who've inherited the will of fire. (Source: ANN)"
6421,Fullmetal Alchemist: Brotherhood Specials,8.03,"Military, Adventure, Drama, Magic, Fantasy, Shounen","mazing secrets and startling facts are exposed for the first time in the Fullmetal Alchemist: Brotherhood OVA Collection, a new assortment of stories set in never-before-seen corners of the FMA universe. Join Ed and Al as they chase rumors of successful human transmutation into a web of shocking family drama and lies. Sneak a glance at hidden sides of Winry and Hawkeye's personalities. Survive the frigid north with a young Izumi Curtis as she fights to gain a deeper understanding of alchemy. Explore the legendary friendship shared by Mustang and Hughes and watch them grow from military school rivals into hardened brothers transformed by the horrors of the Ishvalan War. You thought you knew the whole story. You thought all the tales were told. The Fullmetal Alchemist: Brotherhood OVA Collection offers proof: You were wrong. (Source: FUNimation)"
6547,Angel Beats!,8.15,"Action, Comedy, Drama, School, Supernatural","Otonashi awakens only to learn he is dead. A rifle-toting girl named Yuri explains that they are in the afterlife, and Otonashi realizes the only thing he can remember about himself is his name. Yuri tells him that she leads the Shinda Sekai Sensen (Afterlife Battlefront) and wages war against a girl named Tenshi. Unable to believe Yuri's claims that Tenshi is evil, Otonashi attempts to speak with her, but the encounter doesn't go as he intended. Otonashi decides to join the SSS and battle Tenshi, but he finds himself oddly drawn to her. While trying to regain his memories and understand Tenshi, he gradually unravels the mysteries of the afterlife."
6548,Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,7.14,"Ecchi, Music","music video for the song ""S.t.a.r.S"" featuring Marina Inoue as Yoko."
6702,Fairy Tail,7.68,"Action, Adventure, Comedy, Magic, Fantasy, Shounen","In the mystical land of Fiore, magic exists as an essential part of everyday life. Countless magic guilds lie at the core of all magical activity, and serve as venues for like-minded mages to band together and take on job requests. Among them, Fairy Tail stands out from the rest as a place of strength, spirit, and family. Lucy Heartfilia is a young mage searching for celestial gate keys, and her dream is to become a full-fledged wizard by joining this famous guild. In her search, she runs into Natsu Dragneel and his partner Happy, who are on a quest to find Natsu's foster father, the dragon Igneel. Upon being tricked by a man, Lucy falls under an abduction attempt, only to be saved by Natsu. To her shock, he reveals that he is a member of Fairy Tail and invites her to join them. There, Lucy meets the guild's strange members, such as the ice wizard Gray Fullbuster and magic swordswoman Erza Scarlet. Together as a family, they battle the forces of evil, help those in need, and gain new friends, all the while enjoying the never-ending adventure that is Fairy Tail."
6714,Dragon Ball Z: Atsumare! Gokuu World,6.48,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen","Dragon Ball Z: Atsumare! Goku's World is a Terebikko's videogame. In this OVA, Goku and his friends pose questions for the viewers about the Dragon Ball series."
6746,Durarara!!,8.18,"Action, Mystery, Supernatural","In Tokyo's downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless ""Black Rider"" who is said to be seen driving a jet-black motorcycle through the city streets. Mikado Ryuugamine has always longed for the excitement of the city life, and an invitation from a childhood friend convinces him to move to Tokyo. Witnessing the Black Rider on his first day in the city, his wishes already seem to have been granted. But as supernatural events begin to occur, ordinary citizens like himself, along with Ikebukuro's most colorful inhabitants, are mixed up in the commotion breaking out in their city."
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.82,"Action, Military, Super Power, Mecha",OVA summarizing all 25 episodes of season 2.
6880,Deadman Wonderland,7.22,"Action, Horror, Sci-Fi, Shounen, Supernatural","It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit. But Ganta's nightmare is only just beginning. The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland ."
6948,Bakemonogatari Recap,7.31,"Mystery, Romance, Supernatural",cap of episodes 1-5 of Bakemonogatari.
7054,Kaichou wa Maid-sama!,8.06,"Comedy, Romance, School, Shoujo","Being the first female student council president isn't easy, especially when your school just transitioned from an all boys high school to a co-ed one. Aptly nicknamed ""Demon President"" by the boys for her strict disciplinary style, Misaki Ayuzawa is not afraid to use her mastery of Aikido techniques to cast judgment onto the hordes of misbehaving boys and defend the girls at Seika High School. Yet even the perfect Ayuzawa has an embarrassing secret—she works part-time as a maid at a maid café to help her struggling family pay the bills. She has managed to keep her job hidden from her fellow students and maintained her flawless image as a stellar student until one day, Takumi Usui, the most popular boy in school, walks into the maid café. He could destroy her reputation with her secret... or he could twist the student council president around his little finger and use her secret as an opportunity to get closer to her."
7367,Naruto: The Cross Roads,6.82,"Action, Adventure, Comedy, Shounen","This year is the 10th anniversary of Naruto's serialization start. This work will feature an episode with Team Kakashi from Naruto's youth era. It will be surprisingly different from the TV series, don't miss it‼"
7902,Fullmetal Alchemist: Brotherhood - 4-Koma Theater,7.51,"Parody, Fantasy, Comedy, Military",Short specials from the DVDs/BDs.
8074,Highschool of the Dead,7.15,"Action, Horror, Supernatural, Ecchi, Shounen","It happened suddenly: The dead began to rise and Japan was thrown into total chaos. As these monsters begin terrorizing a high school, Takashi Kimuro is forced to kill his best friend when he gets bitten and joins the ranks of the walking dead. Vowing to protect Rei Miyamoto, the girlfriend of the man he just executed, they narrowly escape their death trap of a school, only to be greeted with a society that has already fallen. Soon, Takashi and Rei band together with other students on a journey to find their family members and uncover what caused this overwhelming pandemic. Joining them is Saeko Busujima, the beautiful president of the Kendo Club; Kouta Hirano, an otaku with a fetish for firearms; Saya Takagi, the daughter of an influential politician; and Shizuka Marikawa, their hot school nurse. But will the combined strength of these individuals be enough to conquer this undead apocalypse?"
8171,One Piece Recap,7.16,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",cap OVA summarizing the ten-year TV series up to the Impel Down arc.
8246,Naruto: Shippuuden Movie 4 - The Lost Tower,7.42,"Action, Comedy, Martial Arts, Shounen, Super Power","ssigned on a mission to capture Mukade, a missing-nin, Naruto Uzumaki sets out for the once glorious historic ruins of ""Ouran"", where he pursues and corners the rogue ninja. Mukade's goal is revealed to be a dormant leyline within the ruins; he unleashes the power of the leyline, causing a light to envelop Naruto, sending him into the past, 20 years before the series began. When Naruto awakens, he comes into contact with the Fourth Hokage, Minato Namikaze. (Source: Wikipedia)"
8247,Bleach Movie 4: Jigoku-hen,7.61,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen","""Hell"" is the place where a person is sent to who committed violent crimes when they were alive. Shinigami are forbidden to go there. One day, prisoners revolt and make their escape to Karakura—the real world—where Ichigo and his friends live in. Ichigo and his friends are defeated one after the other by prisoners with overwhelming power. A mysterious man appears who comes to their rescue. With Kokutou leading the way, Ichigo, Rukia, Uryuu, and Renji marche into Hell to save the world. Note: Episode 299 of Bleach serves as a prologue to this movie. (Source: AniDB, edited)"
8348,Tengen Toppa Gurren Lagann: Parallel Works 2,6.94,"Mecha, Music","other installment in the Tengen Toppa Gurren Lagann Parallel Works anthology series of animated shorts, featuring characters from Gurren Lagann in alternative worlds. Every clip is animated by a particular animator of GAINAX. Creators are Gekidan Inu Curry, Akemi Hayashi, Sushio, Shouko Nishigaki, Satoru Yamaguchi, Shouji Saeki & Shingo Abe and Ayumu Kotake."
8408,Durarara!! Specials,7.9,"Action, Comedy, Supernatural","Celty Sturluson is tasked to deliver a suspicious red handbag as part of her courier duties—the problem is: it is being sought by several organizations. As she makes her way through Ikebukuro toward the place the bag is supposed to be brought to, she is chased by mysterious men speaking a foreign language, and her package ends up dragging many of the city's residents into the conflict. Subsequently, famous actor Yuuhei Hanejima has just arrived in Ikebukuro as part of a special TV program, searching for the best couple to give them a chance to appear in one of his movies. However, Yuuhei Hanejima is actually a stage name for Kasuka Heiwajima, Shizuo's younger brother, and when an anonymous internet user threatens to kill the superstar, this user learns the weight of what that relationship means. Moreover, Shizuo discovers that the one responsible for the attempted attack is the meddlesome pest that he loathes with a burning passion."
8460,Mirai Nikki OVA,7.27,"Action, Shounen, Supernatural",short OVA that was bundled with the limited edition of the eleventh volume of the manga.
8728,Code Geass: Hangyaku no Lelouch - Kiseki no Birthday,6.89,"Supernatural, School","On a lively December day at Ashford Academy, the students are joyously preparing for tomorrow’s school festival. However, the celebrations come to an abrupt halt when terrorists strike the academy. The students are taken hostage and put under lockdown as militant remnants of the Neo-Chinese Federation seize control of the school. Little do the aggressors realize that among the student body are those with extraordinary powers, including the Geass-wielding Lelouch Lamperouge and Britannian soldier Suzaku Kururugi. To protect their school and restore the peace, Lelouch and the student council must band together again to bring about one last miracle."
8740,One Piece Film: Strong World Episode 0,8.0,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power","Set over 20 years prior to the main One Piece story, this limited release OVA chronicles the confrontation between Gold Lion Shiki and Gold Roger as well as other events around the world around the time of the Pirate King's execution."
8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,7.41,"Action, Mecha, Military, Sci-Fi","It is the year 2017, and Europe is being invaded by the forces of the Holy Britannian Empire. In an attempt to combat the opposition's overwhelming pressure and put an end to the massive casualties, the army forms a special unit called Wyvern, or W-0, composed of former Japanese citizens referred to as ""Elevens."" Recruited from ghettos, these young men and women pilot Knightmare frames—humanoid war machines—into dangerous operations where death awaits, hoping to make a name for themselves. When a European regiment attempting to recapture a crucial city is pinned down by the enemy, it's up to W-0 to bail them out. Among those selected for the rescue operation is Lieutenant Akito Hyuuga, known as ""Hannibal's Ghost"" due to his prowess on the battlefield. However, the supposed rescue mission becomes suicidal when, in an attempt to take out as many Britannians as possible, the commanding officer initiates the Knightmare's self-destruct sequence. In its aftermath, Akito finds that he is the last one standing…"
9062,Angel Beats! Specials,7.62,"Action, Comedy, School, Supernatural","s the Shinda Sekai Sensen (SSS) continue their vindictive rebellion against God, their leader, Yuri Nakamura, comes up with an ingenious plan to escape the afterlife. Her subordinates prepare to carry out ""Operation High Tension Syndrome"" to deceive Kanade Tachibana, student council president and alleged associate of God, into thinking that they are ready to pass on. With a week's worth of food on the line and with Heaven as the ultimate prize, will the SSS members be able to fool the inscrutable Kanade?"
9135,Fullmetal Alchemist: The Sacred Star of Milos,7.32,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen","Chasing a runaway alchemist with strange powers, brothers Edward and Alphonse Elric stumble into the squalid valley of the Milos. The Milosians are an oppressed group that seek to reclaim their holy land from Creta: a militaristic country that forcefully annexed their nation. In the eye of the political storm is a girl named Julia Crichton, who emphatically wishes for the Milos to regain their strength and return to being a nation of peace. Befriending the girl, Edward and Alphonse find themselves in the midst of a rising resistance that involves the use of the very object they have been seeking all along—the Philosopher's Stone. However, their past experiences with the stone cause them reservation, and the brothers are unwilling to help. But as they discover the secrets behind Creta's intentions and questionable history, the brothers are drawn into the battle between the rebellious Milos, who desire their liberty, and the Cretan military, who seek absolute power."
9253,Steins;Gate,9.11,"Thriller, Sci-Fi","The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel. Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history. Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time."
9366,Kaichou wa Maid-sama!: Omake dayo!,7.49,"Comedy, School, Shoujo","Extra episode included in Blu-ray and DVD volume 10, entitled ""Omake dayo (It's an extra!)""."
9515,Highschool of the Dead: Drifters of the Dead,6.64,"Comedy, Ecchi, Supernatural","fter escaping the zombie-infested mainland, Takashi Komuro and the gang find themselves on a remote island off the coast of Tokonosu City. While scavenging around the island for supplies, they encounter a small seaside shack that provides them with clothing and a place to rest for the night. After a day's work of collecting food, they begin to cook what they have gathered. As they wait beside the campfire, a light haze begins to form around them and makes them nauseous. Confirming it to be caused by hydrangeas—a type of poisonous plant that can cause hallucinations—the group attempts to escape from the powerful odor."
9591,Code Geass: Hangyaku no Lelouch R2 Omake Flash,5.92,Parody,9 flash anime specials included in the Code Geass R2 DVDs and BDs.
9756,Mahou Shoujo Madoka★Magica,8.38,"Psychological, Drama, Magic, Thriller","adoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer student. Kyuubey offers them a proposition: he will grant any one of their wishes and in exchange, they will each become a magical girl, gaining enough power to fulfill their dreams. However, Homura Akemi, a magical girl herself, urges them not to accept the offer, stating that everything is not what it seems. A story of hope, despair, and friendship, Mahou Shoujo Madoka★Magica deals with the difficulties of being a magical girl and the price one has to pay to make a dream come true."
9919,Ao no Exorcist,7.59,"Action, Demons, Fantasy, Shounen, Supernatural","Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king. Ao no Exorcist follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio."
9982,Fairy Tail OVA,7.52,"Comedy, Ecchi, Fantasy, Magic, Shounen","hen the members of Fairy Tail aren't destroying towns or defeating powerful foes, they're attending school, travelling back in time, visiting water parks, and taking on odd jobs from strange clients. No matter where they go, a fun adventure always awaits, sometimes in the most unexpected form!"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.42,"Slice of Life, Supernatural, Drama","Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago. At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on—but themselves as well?"
9999,One Piece 3D: Mugiwara Chase,7.07,"Action, Adventure, Comedy, Fantasy, Shounen","ccording to Weekly Shonen Jump, 3D movies of One Piece and Toriko were announced to premiere on March 19th, 2011. One Piece 3D is an original story about the missing straw hat of Luffy."
10067,Angel Beats!: Another Epilogue,7.49,"Supernatural, Drama, School","Disillusioned with the afterlife, a new student causes a scene during a classroom test and expresses his doubts about whether getting good grades can really lead to escaping the school and ascending to Heaven. Afterwards, he is confronted by the new student council president—a familiar face whose past experiences give him powerful insight into the true nature of the school and first-hand knowledge regarding the futility of rebellion."
10075,Naruto x UT,7.4,"Action, Comedy, Super Power, Martial Arts, Shounen","ll-new animation offered throughout UNIQLO clothing stores in Japan on January 1, 2011. The DVD contains an exclusive version of Mayonaka Orchestra, by the Japanese rock band Aqua Timez. A limited number of the DVDs was offered as presents to people who bought UNIQLO's Naruto graphic T-shirts online or in their stores. (Source: ANN, edited)"
10087,Fate/Zero,8.34,"Action, Supernatural, Magic, Fantasy","h the promise of granting any wish, the omnipotent Holy Grail triggered three wars in the past, each too cruel and fierce to leave a victor. In spite of that, the wealthy Einzbern family is confident that the Fourth Holy Grail War will be different; namely, with a vessel of the Holy Grail now in their grasp. Solely for this reason, the much hated ""Magus Killer"" Kiritsugu Emiya is hired by the Einzberns, with marriage to their only daughter Irisviel as binding contract. Kiritsugu now stands at the center of a cutthroat game of survival, facing off against six other participants, each armed with an ancient familiar, and fueled by unique desires and ideals. Accompanied by his own familiar, Saber, the notorious mercenary soon finds his greatest opponent in Kirei Kotomine, a priest who seeks salvation from the emptiness within himself in pursuit of Kiritsugu. Based on the light novel written by Gen Urobuchi, Fate/Zero depicts the events of the Fourth Holy Grail War—10 years prior to Fate/stay night . Witness a battle royale in which no one is guaranteed to survive."
10189,Hunter x Hunter Pilot,7.2,"Action, Adventure, Shounen, Super Power","The stand-alone pilot OVA which was shown as part of the ""Jump Super Anime Tour"" of 1998. (Source: Wikipedia)"
10298,Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,7.35,"Comedy, School, Shoujo",Kaichou wa Maid-sama! special that was included on a DVD released with the LaLa magazine. Features character introductions and voice swapping comedy.
10418,Deadman Wonderland: Akai Knife Tsukai,6.98,"Action, Sci-Fi, Horror, Shounen","Two years after the catastrophic tidal wave that swept over Japan, police officer Kiyomasa Senji is trying to make the world a safer place. Using his Branch of Sin powers, he stops criminals in whatever ways he can. After rescuing a boy named Izuru Tsukiyoshi from a gang called Goreless Peace, the conflict between Kiyomasa and his adversaries heats up rapidly, to the point of being explosive. Offering a glimpse into the past of the future Deadman, the story follows Senji, helping to further develop the reasoning that drives his actions later in life."
10589,Naruto: Shippuuden Movie 5 - Blood Prison,7.46,"Action, Adventure, Martial Arts, Super Power, Mystery, Shounen","fter being captured for attempting to assassinate the leader of Kumogakure, the Raikage, and killing Jounin from Kirigakure and Iwagakure, Naruto is imprisoned in Houzukijou, a criminal containment facility also known as the Blood Prison. The master of the castle, Mui, uses the ultimate imprisonment jutsu to steal power from the prisoners. In this place, something is aiming for Naruto's life. The battle to prove his innocence and uncover the truth has begun for Naruto and his friends. (Source: AnimeAvenue)"
10620,Mirai Nikki,7.54,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller","onely high school student, Yukiteru Amano, spends his days writing a diary on his cellphone, while conversing with his two seemingly imaginary friends Deus Ex Machina, who is the god of time and space, and Murmur, the god's servant. Revealing himself to be an actual entity, Deus grants Yukiteru a ""Random Diary,"" which shows highly descriptive entries based on the future and forces him into a bloody battle royale with 11 other holders of similarly powerful future diaries. With the last person standing designated as the new god of time and space, Yukiteru must find and kill the other 11 in order to survive. He reluctantly teams up with his obsessive stalker Yuno Gasai (who also possesses such a diary), and she takes it upon herself to ensure his safety. But there's more to the girl than meets the eye, as she might have other plans for her unrequited love..."
10622,Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,6.78,"Action, Adventure, Comedy, Mecha, Sci-Fi","special episode bundled with the Nintendo DS game based on the series. Envious of seeing how Simon keeps his Lagann clean and neat, Kamina asks the mysterious Chitori to clean up his Gurren for him, unaware of her true intentions. (Source: Wikipedia)"
10647,Ao no Exorcist: Ura Ex,7.1,"Action, Fantasy, Supernatural, Shounen","Ura Ex, extra short anime included in Blu-ray and the DVD releases of Ao no Exorcist ."
10659,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,6.97,"Action, Comedy, Martial Arts, Shounen, Super Power","Naruto discovers a genie's bottle while he and the gang are at a genin grill party. When everyone finds out about the genie's ability to grant wishes, the ultimate chase begins. (Source: AniDB)"
10686,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,7.16,"Action, Adventure, Martial Arts, Shounen, Super Power",Naruto faces off against his old pupil Konohamaru in a tournament during the chuunin entrance exams.
10793,Guilty Crown,7.52,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha","Japan, 2039. Ten years after the outbreak of the ""Apocalypse Virus,"" an event solemnly regarded as ""Lost Christmas,"" the once proud nation has fallen under the rule of the GHQ, an independent military force dedicated to restoring order. Funeral Parlor, a guerilla group led by the infamous Gai Tsutsugami, act as freedom fighters, offering the only resistance to GHQ's cruel despotism. Inori Yuzuriha, a key member of Funeral Parlor, runs into the weak and unsociable Shuu Ouma during a crucial operation, which results in him obtaining the ""Power of Kings""—an ability which allows the wielder to draw out the manifestations of an individual's personality, or ""voids."" Now an unwilling participant in the struggle against GHQ, Shuu must learn to control his newfound power if he is to help take back Japan once and for all. Guilty Crown follows the action-packed story of a young high school student who is dragged into a war, possessing an ability that will help him uncover the secrets of the GHQ, Funeral Parlor, and Lost Christmas. However, he will soon learn that the truth comes at a far greater price than he could have ever imagined."
10842,Fullmetal Alchemist: The Sacred Star of Milos Specials,6.97,"Comedy, Magic, Fantasy","To mark the July 2 opening of the Fullmetal Alchemist: The Sacred Star of Milos film, the Pia Eiga Seikatsu website posted an exclusive video ""interview"" with the stars of the film, Edward and Alphonse Elric (as voiced by Romi Park and Rie Kugimiya, respectively). In keeping with the spirit of Hiromu Arakawa's original manga and the two television anime, the interviewer has trouble early on in figuring out who the ""Fullmetal Alchemist"" is. (The interview has cameos by the other stars of the anime.) Also includes 3 ""Study"" sessions with ""Professor"" Mustang, teaching Winry and Hawkeye about Creta and Milos."
10863,Steins;Gate: Oukoubakko no Poriomania,8.34,"Sci-Fi, Comedy, Thriller","few months after the events of Steins;Gate , Rintarou Okabe and his group of friends are invited to tag along with their acquaintance Faris NyanNyan, who is participating in a Rai-Net battle event in the United States. There, they meet up with an old colleague: Kurisu Makise, who has been recalling fragmented memories of events that happened in the other world lines in the form of dreams. She confronts Okabe, questioning him as to whether these events—particularly the incidents between the two of them—did indeed happen."
11061,Hunter x Hunter (2011),9.1,"Action, Adventure, Fantasy, Shounen, Super Power","Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined. Along the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and characters—all while learning what being a Hunter truly means."
11111,Another,7.55,"Mystery, Horror, Supernatural, Thriller, School","In 1972, a popular student in Yomiyama North Middle School's class 3-3 named Misaki passed away during the school year. Since then, the town of Yomiyama has been shrouded by a fearful atmosphere, from the dark secrets hidden deep within. Twenty-six years later, 15-year-old Kouichi Sakakibara transfers into class 3-3 of Yomiyama North and soon after discovers that a strange, gloomy mood seems to hang over all the students. He also finds himself drawn to the mysterious, eyepatch-wearing student Mei Misaki; however, the rest of the class and the teachers seem to treat her like she doesn't exist. Paying no heed to warnings from everyone including Mei herself, Kouichi begins to get closer not only to her, but also to the truth behind the gruesome phenomenon plaguing class 3-3 of Yomiyama North. Another follows Kouichi, Mei, and their classmates as they are pulled into the enigma surrounding a series of inevitable, tragic events—but unraveling the horror of Yomiyama may just cost them the ultimate price."
11266,Ao no Exorcist: Kuro no Iede,7.31,"Action, Demons, Fantasy, Shounen, Supernatural","Feeling slighted by Rin, Kuro goes on the hunt for a new master, but can he find anyone who can truly replace Rin?"
11553,Toradora!: Bentou no Gokui,7.46,"Slice of Life, Comedy, Romance, School","unaired episode included in the Blu-ray box set. Yuusaku brings an extravagant bento box to share with the class, which makes Ryuuji feel inferior about his own bento making skills. Desperate to beat his bentos, Ryuuji obsessively tries to compete against them to the point where he even brings a rice cooker to school. After Taiga brings him some salty onigiri, Ryuuji realises that the true meaning of bentos is not the taste, but the feelings that are put into it. (Source: Wikipedia)"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.5,"Sci-Fi, Drama","fter a year in America, Kurisu Makise returns to Akihabara and reunites with Rintarou Okabe. However, their reunion is cut short when Okabe begins to experience recurring flashes of other timelines as the consequences of his time traveling start to manifest. These side effects eventually culminate in Okabe suddenly vanishing from the world, and only the startled Kurisu has any memory of his existence. In the midst of despair, Kurisu is faced with a truly arduous choice that will test both her duty as a scientist and her loyalty as a friend: follow Okabe's advice and stay away from traveling through time to avoid the potential consequences it may have on the world lines, or ignore it to rescue the person that she cherishes most. Regardless of her decision, the path she chooses is one that will affect the past, the present, and the future."
11617,High School DxD,7.4,"Comedy, Demons, Ecchi, Harem, Romance, School","High school student Issei Hyoudou is your run-of-the-mill pervert who does nothing productive with his life, peeping on women and dreaming of having his own harem one day. Things seem to be looking up for Issei when a beautiful girl asks him out on a date, although she turns out to be a fallen angel who brutally kills him! However, he gets a second chance at life when beautiful senior student Rias Gremory, who is a top-class devil, revives him as her servant, recruiting Issei into the ranks of the school's Occult Research club. Slowly adjusting to his new life, Issei must train and fight in order to survive in the violent world of angels and devils. Each new adventure leads to many hilarious (and risqué) moments with his new comrades, all the while keeping his new life a secret from his friends and family in High School DxD !"
11701,Another: The Other - Inga,7.32,"Horror, Mystery, Thriller","Shortly before the start of a new semester, Misaki Fujioka visits her twin sister Mei Misaki in Yomiyama City. The girls make full use of the last days of summer, roaming around a heat-weary town and visiting various places including a shopping center and shooting stall. When they prowl around her basement, Mei expresses uneasiness about her new class, which is said to be cursed. Craving more entertainment, the twins decide to pay a visit to the local amusement park. But the leisure of a sleepy summer day could soon turn woeful as Mei sees the color of death on her sister—an unmistakable omen that a tragedy is bound to strike."
